"Scenario Description","Test Case ID","Pre Condition","Steps to Execute","Expected Result","Actual Result","Status","Executed QA Name","Misc (Comments)"
"Verify dynamic content loads correctly on the dashboard","TC_HPD_001","User is logged into the application.","1. Open the loan management application.","The dashboard should display a summary of loans, announcements, and account health indicators correctly.","The dashboard displayed the loan summary, announcements, and account health indicators correctly.","Passed","Paridhi","All elements loaded successfully."
"","","","2. Navigate to the Home Page / Dashboard.","","","","",""
"","","","3. Check for the loans summary section.","","","","",""
"","","","4. Check for announcements section.","","","","",""
"","","","5. Verify account health indicators are displayed.","","","","",""
"","","","6. Refresh the page.","","","","",""
"Check if announcements section updates dynamically","TC_HPD_002","User is logged into the application.","1. Open the loan management application.","New announcements should appear if they were added during the wait time.","New announcements appeared as expected.","Passed","Paridhi","Announcements are timely and relevant."
"","","","2. Navigate to the Home Page / Dashboard.","","","","",""
"","","","3. Note the current announcements.","","","","",""
"","","","4. Wait for 5 minutes.","","","","",""
"","","","5. Refresh the page.","","","","",""
"","","","6. Check the announcements section again.","","","","",""
"Verify account health indicators are accurate","TC_HPD_003","User is logged into the application.","1. Open the loan management application.","Account health indicators should match the user's account status.","Account health indicators matched the actual account data.","Passed","Paridhi","All indicators reflect current status."
"","","","2. Navigate to the Home Page / Dashboard.","","","","",""
"","","","3. Locate the account health indicators.","","","","",""
"","","","4. Compare indicators with actual account data.","","","","",""
"","","","5. Note the values displayed.","","","","",""
"","","","6. Log out and log back in.","","","","",""
"Verify quick access links functionality","TC_HPD_004","User is logged into the application.","1. Open the loan management application.","Quick access links should redirect to the appropriate sections without errors.","All quick access links redirected correctly to their respective sections.","Passed","Paridhi","All links are functioning properly."
"","","","2. Navigate to the Home Page / Dashboard.","","","","",""
"","","","3. Click on each quick access link (Loan Application, Payment History, etc.).","","","","",""
"","","","4. Observe the page transitions.","","","","",""
"","","","5. Return to the dashboard after each click.","","","","",""
"","","","6. Check if links are responsive.","","","","",""
"Test dashboard load time","TC_HPD_005","User is logged into the application.","1. Open the loan management application.","Dashboard should load within 3 seconds.","Dashboard loaded within 2.5 seconds.","Passed","Paridhi","Load time is acceptable and meets requirements."
"","","","2. Use a stopwatch to time the loading of the Home Page / Dashboard.","","","","",""
"","","","3. Record the load time.","","","","",""
"","","","4. Refresh the page.","","","","",""
"","","","5. Time the loading again.","","","","",""
"","","","6. Compare results.","","","","",""
"Check for responsive design on mobile devices","TC_HPD_006","User is logged into the application on a mobile device.","1. Open the loan management application on a mobile device.","Dashboard should be responsive and all elements should be accessible on mobile.","","","",""
"","","","2. Navigate to the Home Page / Dashboard.","","","","",""
"","","","3. Rotate the device from portrait to landscape.","","","","",""
"","","","4. Check the layout for any misalignment.","","","","",""
"","","","5. Test all interactive elements.","","","","",""
"","","","6. Verify all text is legible.","","","","",""
