"Scenario Description","Test Case ID","Pre Condition","Steps to Execute","Expected Result","Actual Result","Status","Executed QA Name","Misc (Comments)"
"Validate correct interest calculation based on principal, rate, and term","TC_ICLT_001","None","1. Go to loan application page.","Interest should be calculated accurately as per the formula and displayed to the user.","Interest calculated correctly.","Passed","Paridhi","Basic interest calculation test"
"","","","2. Enter principal, interest rate, and term.","","","","",""
"","","","3. Submit application.","","","","",""
"Test interest calculation with maximum principal and term","TC_ICLT_002","None","1. Enter maximum principal and maximum term allowed.","System should handle high values without errors and display correct interest.","Maximum values calculated accurately.","Passed","Paridhi","Edge case for upper boundary"
"","","","2. Submit application.","","","","",""
"Check for minimum and zero interest rate handling","TC_ICLT_003","None","1. Enter a zero interest rate and submit application.","System should display correct result with no interest charged when rate is zero, and accurate result with minimum rate.","Zero/min interest handled correctly.","Passed","Paridhi","Validates handling of low-interest rates"
"","","","2. Repeat with minimum positive interest rate.","","","","",""
"Validate recalculation when term is modified before submission","TC_ICLT_004","Interest calculation occurs on term input","1. Enter principal, rate, and a term.","Interest should be recalculated immediately upon change in term.","Recalculated interest shown after term modification.","Passed","Paridhi","Immediate recalculation on term change"
"","","","2. Change the term and verify recalculated interest.","","","","",""
"Test for round-off errors in interest calculation for floating-point rates","TC_ICLT_005","None","1. Enter a principal and term with a floating-point rate (e.g., 5.75%).","Interest amount should be correctly rounded off according to predefined rules (e.g., round to nearest 2 decimals).","Round-off handled correctly for floating-point rate.","Passed","Paridhi","Checks for rounding precision"
"","","","2. Submit application.","","","","",""
"Verify compound interest calculation for long-term loans","TC_ICLT_006","Compound interest for long terms enabled","1. Select a long-term loan.","System should apply compound interest correctly as per policy for long-term loans.","Compound interest calculated as expected.","Passed","Paridhi","Ensures compound interest for long-term loans"
"","","","2. Enter principal and rate.","","","","",""
"","","","3. Submit application.","","","","",""
"Validate interest calculation accuracy when applying various loan types (e.g., personal, mortgage)","TC_ICLT_007","Multiple loan types available","1. Select different loan types sequentially.","Each loan type should calculate interest differently based on predefined policies.","Interest calculated according to loan type.","Passed","Paridhi","Loan-specific interest calculation"
"","","","2. Enter same principal and term.","","","","",""
"","","","3. Submit each application.","","","","",""
"Test penalty interest addition for overdue payments","TC_ICLT_008","Loan payment due","1. Set loan payment as overdue.","System should add penalty interest for overdue loans based on predefined penalty rate.","Penalty interest applied as expected.","Passed","Paridhi","Penalty interest for overdue payments"
"","","","2. Check if penalty interest is added to the remaining balance.","","","","",""
