Scenario ID,Scenario Description,Test Case ID,Pre Condition,Steps to Execute,Expected Result,Actual Result,Status,Executed QA Name,Misc (Comments)
SCENARIO_1,User Registration,TC_1_1,User is on the registration page.,1. Fill in valid details.,User is successfully registered and redirected.,"Registration successful, user redirected to dashboard.",Pass,Paridhi,No issues encountered.
,,,,2. Click 'Register'.,,,,,
,,TC_1_2,User is on the registration page.,1. Fill in existing email.,User receives an error message for existing email.,Error message displayed as expected.,Pass,Paridhi,Validated existing email check.
,,,,2. Click 'Register'.,,,,,
,,TC_1_3,User is on the registration page.,1. Fill in an invalid email.,User receives a validation error for invalid email.,Validation error displayed correctly.,Pass,Paridhi,Email format validation works.
,,,,2. Click 'Register'.,,,,,
,,TC_1_4,User is on the registration page.,1. Fill in weak password.,User receives an error for weak password.,Password strength validation triggered correctly.,Pass,Paridhi,Strong password policy enforced.
,,,,2. Click 'Register'.,,,,,
,,TC_1_5,User is on the registration page.,1. Leave mandatory fields blank.,User receives a validation error for required fields.,Required fields validation functioning correctly.,Pass,Paridhi,All mandatory fields checked.
,,,,2. Click 'Register'.,,,,,
SCENARIO_2,User Login,TC_2_1,User has valid credentials.,1. Navigate to login page.,User is logged in and redirected.,User logged in successfully.,Pass,Paridhi,Smooth login process.
,,,,2. Enter valid credentials.,,,,,
,,,,3. Click 'Login'.,,,,,
,,TC_2_2,User is on the login page.,1. Enter invalid email.,User receives an error for invalid email.,"Error displayed: ""Email not found.""",Pass,Paridhi,Error handling is effective.
,,,,2. Enter password.,,,,,
,,,,3. Click 'Login'.,,,,,
,,TC_2_3,User is on the login page.,1. Enter valid email.,User receives an error for incorrect password.,"Error message shown: ""Incorrect password.""",Pass,Paridhi,Clear error messaging.
,,,,2. Enter incorrect password.,,,,,
,,,,3. Click 'Login'.,,,,,
,,TC_2_4,User account is inactive.,1. Enter inactive account details.,User receives an error indicating inactivity.,Inactivity error displayed as expected.,Pass,Paridhi,Inactive accounts managed well.
,,,,2. Click 'Login'.,,,,,
,,TC_2_5,User has forgotten password.,1. Click 'Forgot Password'.,User receives an email with reset instructions.,Email sent with reset instructions.,Pass,Paridhi,Reset email received quickly.
,,,,2. Enter email.,,,,,
,,,,3. Click 'Submit'.,,,,,
SCENARIO_3,Loan Application,TC_3_1,User is logged in.,1. Navigate to loan application.,Loan application is successfully submitted.,Application submitted without issues.,Pass,Paridhi,Application processed efficiently.
,,,,2. Fill in valid data.,,,,,
,,,,3. Submit.,,,,,
,,TC_3_2,User is logged in.,1. Navigate to loan application.,User receives an error for required fields.,Validation error for missing fields displayed.,Pass,Paridhi,All required checks performed.
,,,,2. Leave mandatory fields blank.,,,,,
,,,,3. Submit.,,,,,
,,TC_3_3,User is logged in.,1. Fill in invalid income details.,User receives an error for invalid income.,Error for invalid income shown correctly.,Pass,Paridhi,Income validation successful.
,,,,2. Submit.,,,,,
,,TC_3_4,User is logged in.,1. Fill in unsupported loan amount.,User receives an error for exceeding loan limits.,Error for unsupported amount displayed.,Pass,Paridhi,Loan limits enforced correctly.
,,,,2. Submit.,,,,,
,,TC_3_5,User is logged in.,1. Start application.,System times out and user is prompted to reapply.,Timeout error prompted as expected.,Pass,Paridhi,Session management effective.
,,,,2. Leave session idle.,,,,,
,,,,3. Attempt to submit.,,,,,
SCENARIO_4,Document Upload,TC_4_1,User is logged in and on the upload page.,1. Select a valid document.,Document uploads successfully.,Document uploaded without issues.,Pass,Paridhi,Upload process smooth.
,,,,2. Click 'Upload'.,,,,,
,,TC_4_2,User is logged in and on the upload page.,1. Select an unsupported file type.,User receives an error for unsupported file type.,Unsupported file error shown.,Pass,Paridhi,File type validation works.
,,,,2. Click 'Upload'.,,,,,
,,TC_4_3,User is logged in and on the upload page.,1. Select a file exceeding size limits.,User receives an error for exceeding file size limit.,File size limit enforced correctly.,Pass,Paridhi,Size validation effective.
,,,,2. Click 'Upload'.,,,,,
,,TC_4_4,User is logged in and on the upload page.,1. Select incomplete document.,User receives an error for incomplete documentation.,Incomplete document error displayed.,Pass,Paridhi,Complete documents enforced.
,,,,2. Click 'Upload'.,,,,,
,,TC_4_5,User is logged in and on the upload page.,1. Start upload.,User is successfully redirected without uploading.,User redirected after canceling.,Pass,Paridhi,Cancel functionality works well.
,,,,2. Click 'Cancel'.,,,,,
SCENARIO_5,Loan Calculator,TC_5_1,User is on the loan calculator page.,1. Enter principal amount.,Calculator shows accurate EMI and interest details.,EMI calculated correctly as expected.,Pass,Paridhi,Accurate calculations confirmed.
,,,,2. Select tenure.,,,,,
,,,,3. Click 'Calculate'.,,,,,
,,TC_5_2,User is on the loan calculator page.,1. Change interest rate.,Calculator updates with new EMI based on interest.,EMI updated correctly with new interest.,Pass,Paridhi,Interest updates processed.
,,,,2. Click 'Calculate'.,,,,,
,,TC_5_3,User is on the loan calculator page.,1. Change tenure.,Calculator shows updated EMI for new tenure.,EMI adjusted correctly for new tenure.,Pass,Paridhi,Tenure changes reflected.
,,,,2. Click 'Calculate'.,,,,,
,,TC_5_4,User is on the loan calculator page.,1. Enter invalid principal amount.,User receives an error for invalid amount.,Validation error shown for invalid amount.,Pass,Paridhi,Amount validation works correctly.
,,,,2. Click 'Calculate'.,,,,,
,,TC_5_5,User is on the loan calculator page.,1. Leave all fields blank.,User receives an error for required fields.,Required fields error displayed correctly.,Pass,Paridhi,All inputs checked.
,,,,2. Click 'Calculate'.,,,,,
SCENARIO_6,Loan Status Tracking,TC_6_1,User has a valid loan ID.,1. Navigate to loan status tracking.,Loan status is displayed correctly.,"Status displayed as ""Approved"".",Pass,Paridhi,Status tracking functioning well.
,,,,2. Enter valid loan ID.,,,,,
,,,,3. Click 'Track'.,,,,,
,,TC_6_2,User has an invalid loan ID.,1. Navigate to loan status tracking.,User receives an error for invalid loan ID.,Error displayed for loan ID not found.,Pass,Paridhi,Invalid ID handling effective.
,,,,2. Enter invalid loan ID.,,,,,
,,,,3. Click 'Track'.,,,,,
